company	Year	FCFF	TotalDebt	Revenues	NetCapExp	EBITDA	TaxRate	NetIncome
BOUYGUES	2004	286.677	-401.2	-1768.4	-397.4	-222.4	0.04768	-360.4
BOUYGUES	2005	576.6874	-867.2	-188.4	-246.4	52.6	-0.00112	47.6
BOUYGUES	2006	-499.2598	-190.2	482.6	22.6	147.6	0.02448	21.6
BOUYGUES	2007	-41.0948	2154.8	2817.6	218.6	411.6	-0.01702	435.6
BP PLC	2003	-2916.04744	8972	41228.8	-583	417	0.16568	-1953.8
BP PLC	2004	-5363.54454	-13036	-137492.2	-2231	-18627	-0.20462	-10596.8
BP PLC	2005	-5363.54454	-13036	-137492.2	-2231	-18627	-0.20462	-10596.8
BP PLC	2006	7435.96506	6126	108962.8	1279	19647	0.09218	11744.2
BP PLC	2007	6207.17146	10974	124792.8	3766	17190	0.15138	11403.2
BPP HOLDINGS PLC	2003	-7.7287832	-14.462	-10.052	2	-2.156	0.0165	-0.018
BPP HOLDINGS PLC	2004	0.2806488	-11.042	-4.182	-5.94	-1.346	0.1329	-1.378
BPP HOLDINGS PLC	2005	-7.7815362	0.468	2.918	7.27	-1.666	0.1299	-1.748
BPP HOLDINGS PLC	2006	7.4704528	3.518	-2.612	0.16	2.414	-0.1224	1.652
BPP HOLDINGS PLC	2007	7.7592178	21.518	13.928	-3.49	2.754	-0.1569	1.492
BRAMMER PLC	2003	9.184634	-0.182	43.384	-4.982	19.2	-0.11864	-0.98
BRAMMER PLC	2004	17.214966	17.658	-32.096	-17.882	24	0.29336	-0.61
BRAMMER PLC	2005	-11.541934	-9.442	-23.816	10.428	-18.27	0.10576	0.43
BRAMMER PLC	2006	-4.687162	-14.702	-7.216	6.308	-16.3	-0.17964	-0.53
BRAMMER PLC	2007	-10.170504	6.668	19.744	6.128	-8.63	-0.10084	1.69
BRANTANO	2003	-33.9182762	38.644	-5.602	17.836	-28.146	-0.31698	-8.816
BRANTANO	2004	-4.6620572	6.694	-1.192	7.436	-16.176	0.19612	-3.456
BRANTANO	2005	-15.5131882	4.084	17.578	0.686	-12.636	0.25442	-5.986
BRANTANO	2006	46.4488998	-6.066	-0.912	-40.204	45.724	0.05082	-2.056
BRANTANO	2007	7.6446218	-43.356	-9.872	14.246	11.234	-0.18438	20.314
BREDERODE	2003	-231.2930962	23.68	-211.388	0.202	-219.026	-0.02686	-218.30598
BREDERODE	2004	-24.5731962	26.67	-22.398	0.502	-26.286	0.01434	-27.98608
BREDERODE	2005	-13.7569762	-14.73	-7.948	0.382	-12.886	0.00914	-14.48598
BREDERODE	2006	163.2032718	-19.04	145.572	-1.648	154.054	-0.01206	163.95402
BREDERODE	2007	106.4199968	-16.58	96.162	0.562	104.144	0.01544	96.82402
BREMBO SPA	2003	6.4833844	1.168	-115.098	-21.096	-14.312	0.05766	-13.23
BREMBO SPA	2004	26.0708264	-13.562	-47.208	-20.736	-4.002	0.00696	-4.15
BREMBO SPA	2005	-13.6916796	-9.562	-2.758	10.004	-3.362	-0.00974	0.88
BREMBO SPA	2006	-32.7363196	44.698	40.012	22.524	7.298	-0.02754	7.06
BREMBO SPA	2007	13.8737884	-22.742	125.052	9.304	14.378	-0.02734	9.44
BRICODEAL	2003	-3.6404456	-7.276	-12.408	1.162	-2.516	-0.0561	0.06
BRICODEAL	2004	-3.3587476	1.644	1.392	1.292	1.294	-0.0379	0.75
BRICODEAL	2005	2.6583564	3.434	0.022	0.202	-1.386	0.0979	-1.48
BRICODEAL	2006	4.8884524	-1.166	1.802	-0.658	0.314	0.0081	-0.33
BRICODEAL	2007	-0.5476156	3.364	9.192	-1.998	2.294	-0.012	1
BRICORAMA SA	2003	-19.4617636	-50.758	-50.9	2.54	-4.026	0.0339	-2.422
BRICORAMA SA	2004	15.3678284	3.392	-29.16	-3.77	-2.126	-0.0318	-0.402
BRICORAMA SA	2005	-13.0738096	-7.428	15.99	-3.39	1.964	0.0139	1.778
BRICORAMA SA	2006	-4.1233196	19.392	27.86	5.07	2.664	0.0225	-0.132
BRICORAMA SA	2007	21.2910644	35.402	36.21	-0.45	1.524	-0.0385	1.178
BT GROUP PLC	2003	935.50602	4010	-394.2	-440.4	103.8	-0.0319	202.8
BT GROUP PLC	2004	-702.99328	1479	-602.2	-237.4	121.8	0.0994	312.8
BT GROUP PLC	2005	-207.82398	371	-498.2	214.6	17.8	0.0459	221.8
BT GROUP PLC	2006	-317.07798	-2283	392.8	70.6	-174.2	0.0639	-1020.2
BT GROUP PLC	2007	292.38922	-3577	1101.8	392.6	-69.2	-0.1773	282.8
BTG PLC	2003	-12.348	-0.45	-11.37	-2.076	-14.788	-0.02288	-18.252
BTG PLC	2004	-5.418	0.22	5.86	2.434	-7.478	-0.02288	-9.082
BTG PLC	2005	-7.858	3.19	-4.59	-0.806	-4.778	-0.02288	-8.042
BTG PLC	2006	11.912	-1.48	7.3	0.924	12.872	0.03592	16.788
BTG PLC	2007	13.712	-1.48	2.8	-0.476	14.172	0.03272	18.588
BULGARI SPA	2003	30.658167	75.684	-82.132	2.97	-21.548	0.02292	-29.328
BULGARI SPA	2004	30.419686	-19.076	-96.502	-3.56	-15.038	0.02332	-13.318
BULGARI SPA	2005	33.531419	-24.406	-28.122	-27.1	2.512	-0.02598	2.842
BULGARI SPA	2006	-29.098085	-13.676	57.808	6.9	8.722	-0.01488	10.992
BULGARI SPA	2007	-65.511187	-18.526	148.948	20.79	25.352	-0.00538	28.812
BUNZL PLC	2003	-1.015042	-93.94	-241.48	-0.46	-0.8	0.03174	22.42
BUNZL PLC	2004	20.841918	-136.84	-186.88	2.24	5.5	0.00834	27.02
BUNZL PLC	2005	-18.846072	120.76	0.92	3.74	21.7	0.01364	36.32
BUNZL PLC	2006	-3.183392	17.06	9.32	-2.46	-25.1	-0.02536	-45.78
BUNZL PLC	2007	2.202588	92.96	418.12	-3.06	-1.3	-0.02836	-39.98
BURE EQUITY AB	2003	286.032378	715.14	1408.72	-110.02	-341.52	-0.19736	-675.715454
BURE EQUITY AB	2004	-165.767622	361.44	-867.98	110.68	-131.02	-0.19576	-340.954014
BURE EQUITY AB	2005	131.642038	450.24	1148.72	-33.92	16.18	0.70734	-127.699624
BURE EQUITY AB	2006	154.965328	-702.86	799.22	30.18	507.58	-0.11686	392.184546
BURE EQUITY AB	2007	-406.872122	-823.96	-2488.68	3.08	-51.22	-0.19736	752.184546
BURELLE SA	2003	-65.9473908	35.024	-283.008	86.164	-91.99	-0.06718	-13.3179766
BURELLE SA	2004	-134.6386488	8.404	-187.048	84.684	-179.91	0.19572	11.8319064
BURELLE SA	2005	-120.7277798	-50.306	-99.948	110.994	-77.64	-0.04988	-8.8779766
BURELLE SA	2006	-60.3392738	40.204	144.392	69.894	-26.99	-0.00128	2.3920234
BURELLE SA	2007	381.6530932	-33.326	425.612	-351.736	376.53	-0.07738	7.9720234
BUSINESS OBJECTS	2003	-47.1199492	-9.12	-621.42	15.678	-104.176	-0.35316	-38.496
BUSINESS OBJECTS	2004	-3.6202842	-1.38	-125.2	6.688	-17.856	0.22534	-18.536
BUSINESS OBJECTS	2005	-21.0912932	-4.21	123.36	-10.872	14.254	0.03904	-0.576
BUSINESS OBJECTS	2006	32.0763238	18.46	245.44	-3.202	54.274	0.01454	36.044
BUSINESS OBJECTS	2007	39.7552028	-3.75	377.82	-8.292	53.504	0.07424	21.564
BUZZI UNICEM SPA	2003	-121.5348288	-387.816	-894.976	-12.576	-194.382	0.03956	-97.68
BUZZI UNICEM SPA	2004	-151.6361768	-454.676	-912.086	24.164	-221.792	0.03816	-67.13
BUZZI UNICEM SPA	2005	131.0169892	506.694	397.944	-41.666	54.858	-0.02724	12.3
BUZZI UNICEM SPA	2006	69.6529952	316.364	577.784	6.074	95.688	-0.06564	29.08
BUZZI UNICEM SPA	2007	72.5010212	19.434	831.334	24.004	265.628	0.01516	123.43
C.J. VOGEL AG	2003	-0.4999246	-1.614	-0.022	0	0.054	0.10802	-0.4999246
C.J. VOGEL AG	2004	0.7728754	1.076	0.588	0	0.554	-0.08698	0.7728754
C.J. VOGEL AG	2005	0.7728754	1.076	0.588	0	0.554	-0.08698	0.7728754
C.J. VOGEL AG	2006	0.7728754	1.076	0.588	0	0.554	-0.08698	0.7728754
C.J. VOGEL AG	2007	-1.8187016	-1.614	-1.742	0	-1.716	0.15292	-1.8187016
CA TOULOUSE-CCI	2003	-10.7003548	-474.95	-32.878	6.002	-28.806	0.03498	-16.150323
CA TOULOUSE-CCI	2004	-3.4206468	-364.23	-21.768	6.002	-19.756	0.01018	-8.870615
CA TOULOUSE-CCI	2005	7.0193762	-237.46	-22.158	6.002	-2.796	0.02028	1.569408
CA TOULOUSE-CCI	2006	-351.9864448	229.97	19.532	-15.958	24.054	-0.01552	7.720765
CA TOULOUSE-CCI	2007	359.0880702	846.67	57.272	-2.048	27.304	-0.04992	15.730765
CAMAIEU	2003	-44.8776354	17.614	-98.42	18.794	-31.044	-0.007	-18.682
CAMAIEU	2004	-6.4347724	14.874	-57.95	0.224	-15.824	0.0133	-11.942
CAMAIEU	2005	-13.4940154	16.594	-28.24	-2.616	-11.004	-0.0034	-7.912
CAMAIEU	2006	30.5397326	-23.616	54.41	-13.136	9.916	-0.0028	6.148
CAMAIEU	2007	34.2666906	-25.466	130.2	-3.266	47.956	-0.0001	32.388
CAMELLIA PLC	2003	-11.6735556	81.298	3.08	1.772	1.452	0.17216	-2.846
CAMELLIA PLC	2004	-4.0421426	61.448	4.33	-0.678	-2.348	-0.10254	-6.496
CAMELLIA PLC	2005	-4.0421426	61.448	12.16	-0.678	-2.348	-0.10254	-6.496
CAMELLIA PLC	2006	24.8236164	-101.822	-13.69	-0.908	-2.668	-0.06424	11.634
CAMELLIA PLC	2007	-5.0657756	-102.372	-5.88	0.492	5.912	0.09716	4.204
CAMERA WORK	2003	1.874	-0.988	-0.246	-1.226	0.534	0	-0.222
CAMERA WORK	2004	-0.936	0.662	-0.266	0.674	-0.176	0	0.098
CAMERA WORK	2005	-0.936	0.662	-0.266	0.674	-0.176	0	0.098
CAMERA WORK	2006	-0.936	0.662	-0.266	0.674	-0.176	0	0.098
CAMERA WORK	2007	0.934	-0.998	1.044	-0.796	-0.006	0	-0.072
CANAL PLUS	2003	101.78192	5.2	6	-6.8	-12.2	-0.13112	1.6
CANAL PLUS	2004	9.86552	-0.8	-37	-15.8	15.8	0.05368	-4.4
CANAL PLUS	2005	8.71712	-0.8	-65	7.2	-8.2	0.02068	0.6
CANAL PLUS	2006	-88.18228	-5.8	-2	4.2	-1.2	0.02838	-2.4
CANAL PLUS	2007	-32.18228	2.2	98	11.2	5.8	0.02838	4.6
CAPE PLC	2003	-2.11596	17.48	-47.42	-2.24	-4.32	-0.22572	0.44
CAPE PLC	2004	3.96349	-6.32	-11.92	-0.14	-3.02	-0.24422	-1.36
CAPE PLC	2005	3.96349	-6.32	-3.12	-0.14	-3.02	-0.24422	-1.36
CAPE PLC	2006	-7.72517	-15.32	24.78	1.76	1.98	0.75578	-4.46
CAPE PLC	2007	1.91415	10.48	37.68	0.76	8.38	-0.04162	6.74
CAPITA GROUP PLC	2003	-72.9081556	-75.104	-389.36	9.352	-66.764	0.0506	-30.908
CAPITA GROUP PLC	2004	-16.4491086	-77.474	-206.26	-15.338	-39.434	0.0282	-9.098
CAPITA GROUP PLC	2005	3.5279414	-46.574	-4.66	-12.438	-6.234	0.0181	18.102
CAPITA GROUP PLC	2006	34.9743414	5.626	148.64	7.162	37.566	-0.0373	-5.198
CAPITA GROUP PLC	2007	50.8549814	193.526	451.64	11.262	74.866	-0.0596	27.102
CAPMAN OYJ-B SHS	2003	-6.8338326	-3.282	-0.966	0.01	-1.262	-0.0391	-0.744
CAPMAN OYJ-B SHS	2004	1.5456934	-3.282	-2.996	-0.45	-4.592	0.117	-2.974
CAPMAN OYJ-B SHS	2005	1.5456934	-3.282	-2.996	-0.45	-4.592	0.117	-2.974
CAPMAN OYJ-B SHS	2006	-0.4693196	1.278	-13.416	0.36	2.388	-0.1181	-0.654
CAPMAN OYJ-B SHS	2007	4.2117654	8.568	20.374	0.53	8.058	-0.0768	7.346
CARBONE LORRAINE	2003	-183.493422	66.4	79	-8.52	11.3	3.90442	-144.8272
CARBONE LORRAINE	2004	87.090738	10.9	-12.5	-5.12	-12.2	-1.21558	34.5568
CARBONE LORRAINE	2005	34.004328	-45	-5.9	-6.02	-1.7	-0.80248	27.7568
CARBONE LORRAINE	2006	30.550178	-10.8	-58.5	6.28	-2.6	-0.88518	34.6568
CARBONE LORRAINE	2007	31.848178	-21.5	-2.1	13.38	5.2	-1.00118	47.8568
CARDO AB	2003	-186.7948	-218.2	359	-124	210.6	0.02052	318.8
CARDO AB	2004	909.8325	-199.2	-355	-21	46.6	-0.00418	-48.2
CARDO AB	2005	-74.0051	-186.2	-356	-1	-103.4	-0.02858	-106.2
CARDO AB	2006	-401.2091	44.8	-162	74	-257.4	0.01542	-209.2
CARDO AB	2007	-247.8235	558.8	514	72	103.6	-0.00318	44.8
CARILLION PLC	2003	-78.865838	-17.4	-286.42	4.14	-6.04	0.01924	-3.66
CARILLION PLC	2004	7.027202	-33.7	-272.82	-6.06	1.96	0.32604	-3.36
CARILLION PLC	2005	78.385162	-34.8	-263.72	-8.06	-2.94	-0.25376	-7.56
CARILLION PLC	2006	-2.016588	-57.9	-108.22	10.84	-4.04	-0.03986	-2.16
CARILLION PLC	2007	-4.529938	143.8	931.18	-0.86	11.06	-0.05166	16.74
CARLSBERG-A	2003	-2223.03494	-4713.2	-1513.4	2200.4	-127.6	-0.01578	-76.6
CARLSBERG-A	2004	-23.41094	-5380.2	-2431.4	5.4	-209.6	-0.04978	-131.6
CARLSBERG-A	2005	-526.80214	3814.8	-1070.4	-748.6	-340.6	0.11742	-610.6
CARLSBERG-A	2006	1283.95906	4729.8	989.6	-714.6	-426.6	-0.02988	22.4
CARLSBERG-A	2007	1489.28896	1548.8	4025.6	-742.6	1104.4	-0.02198	796.4
CARNIVAL PLC	2003	-1176.642552	-2734.6	-6513.96	-453.32	-1877.32	0.04488	-1308.04
CARNIVAL PLC	2004	-1136.551162	2035.4	-2322.76	495.08	-498.92	-0.00712	-412.74
CARNIVAL PLC	2005	-386.374762	2584.4	2046.24	1338.08	984.08	0.00048	247.26
CARNIVAL PLC	2006	1887.327538	-5368.6	2798.24	-1435.92	146.08	-0.01402	672.26
CARNIVAL PLC	2007	812.240938	3483.4	3992.24	56.08	1246.08	-0.02422	801.26
CARPETRIGHT PLC	2003	-0.1555506	13.516	-19.088	-3.48	-5.738	-0.01106	-0.262
CARPETRIGHT PLC	2004	16.2477584	9.826	-3.138	-6.49	5.542	-0.01966	11.168
CARPETRIGHT PLC	2005	-18.2052366	7.386	6.642	9.23	2.432	-0.01066	7.918
CARPETRIGHT PLC	2006	6.6941244	-12.714	-4.458	-3.13	-1.218	0.02274	-10.512
CARPETRIGHT PLC	2007	-4.5810956	-18.014	20.042	3.87	-1.018	0.01864	-8.312
CARRARO SPA	2003	-5.1133756	33.602	-132.666	-7.6	-7.89	0.35516	-8.468
CARRARO SPA	2004	10.6333364	23.262	-123.856	-5.9	-2.93	0.01366	-4.788
CARRARO SPA	2005	13.5310864	-40.108	-0.056	-2.79	6.79	-0.06354	2.392
CARRARO SPA	2006	2.0249904	-11.558	103.124	13.46	-2.66	-0.40774	10.682
CARRARO SPA	2007	-21.0760376	-5.198	153.454	2.83	6.69	0.10246	0.182
CARREFOUR SA	2003	-349.648826	1326.24	-4127.38	-492.7	-625.46	-0.00346	-244.8
CARREFOUR SA	2004	449.637654	589.34	-2369.98	-314.7	255.74	0.00094	10.2
CARREFOUR SA	2005	1046.111634	-998.66	-188.18	-504.2	273.04	0.03474	-232.1
CARREFOUR SA	2006	-368.921136	-199.96	1640.62	496.3	-4.96	0.00784	-182.9
CARREFOUR SA	2007	-777.179326	-716.96	5044.92	815.3	101.64	-0.04006	649.6
CARRERE GROUP	2003	7.4548564	-26.348	-31.164	-8.282	-20.356	0.03184	-1.874
CARRERE GROUP	2004	-4.7778396	-18.068	-23.174	-2.832	-11.956	0.04904	0.216
CARRERE GROUP	2005	4.0849544	-3.748	-3.364	11.448	5.914	0.01054	1.726
CARRERE GROUP	2006	-2.7676476	15.412	19.886	1.228	5.234	-0.03526	2.626
CARRERE GROUP	2007	-3.9943236	32.752	37.816	-1.562	21.164	-0.05616	-2.694
CASTELLUM AB	2003	357.6641	-921.8	-85.8	-368	-56.2	-0.17406	29.2
CASTELLUM AB	2004	340.6641	-587.8	-11.8	-322	-11.2	-0.17406	-317.8
CASTELLUM AB	2005	265.5206	-351.8	86.2	-207	70.8	0.09064	-257.8
CASTELLUM AB	2006	144.8853	210.2	134.2	0	148.8	0.07014	450.2
CASTELLUM AB	2007	-1108.7341	1651.2	-122.8	897	-152.2	0.18734	96.2
CASTINGS PLC	2003	0.835759	0	-10.71	2.088	-1.982	-0.01952	0.004
CASTINGS PLC	2004	-1.531697	0	-9.43	-2.582	-2.432	0.00918	-0.926
CASTINGS PLC	2005	-2.615778	0	-1.57	1.288	-1.032	0.00338	-0.036
CASTINGS PLC	2006	3.185987	0	6.09	-2.182	1.868	0.01918	0.154
CASTINGS PLC	2007	0.125729	0	15.62	1.388	3.578	-0.01222	0.804
CATTLES PLC	2003	127.3295222	-421.506	-153.174	-3.51	-23.984	-0.0138	-11.086
CATTLES PLC	2004	55.5391462	-210.156	-46.924	5.48	2.846	0.0045	14.824
CATTLES PLC	2005	-5.4970958	-13.176	82.416	4.45	18.336	0.0064	33.364
CATTLES PLC	2006	50.6430652	123.604	52.846	-1.68	-7.684	-0.0009	-24.206
CATTLES PLC	2007	-228.0146378	521.234	64.836	-4.74	10.486	0.0038	-12.896
CEAG AG	2003	7.7671204	10.038	-28.836	-2.244	-4.202	-0.08778	-3.278
CEAG AG	2004	7.3876004	5.248	-52.766	-1.524	-2.382	-0.05618	-1.528
CEAG AG	2005	-2.4510196	-1.632	-59.746	-0.514	-2.922	0.13982	-2.218
CEAG AG	2006	-1.1280496	-4.012	9.884	2.096	0.448	0.01612	-0.058
CEAG AG	2007	-11.5756516	-9.642	131.464	2.186	9.058	-0.01198	7.082
CEGEDEL	2003	-16.437468	2.044	-91.15	0	-12.914	0.17406	-16.3172616
CEGEDEL	2004	-16.437468	2.044	-91.15	0	-12.914	0.17406	-16.3172616
CEGEDEL	2005	-6.514952	-3.626	27.96	0	-4.044	0.04346	-6.3910616
CEGEDEL	2006	11.89138	-0.576	182.17	0	3.806	-0.22114	11.7926284
CEGEDEL	2007	27.498508	0.114	-27.83	0	26.066	-0.17044	27.2329564
CEGEDIM SA	2003	-15.4095576	-58.772	-99.75	10.718	-17.99	-0.00854	-11.204
CEGEDIM SA	2004	1.3983344	-40.352	-50.82	-8.732	-3.85	0.07366	-8.724
CEGEDIM SA	2005	28.6028744	-15.062	-12.32	-19.962	0.1	0.03306	-1.864
CEGEDIM SA	2006	-6.6513056	39.748	61.51	8.588	7.87	-0.04584	10.386
CEGEDIM SA	2007	-7.9403456	74.438	101.38	9.388	13.87	-0.05234	11.406
CELESIO AG	2003	-266.0714212	-222.604	-1243.804	164.06	-116.164	0.0126	-97.026
CELESIO AG	2004	-311.0986372	-280.014	-1087.604	50.56	-103.344	0.0304	-83.696
CELESIO AG	2005	120.7410308	67.856	-474.534	-92.45	24.126	0.0247	2.884
CELESIO AG	2006	239.4287528	303.846	863.956	-97.55	70.726	-0.0564	87.724
CELESIO AG	2007	217.0002748	130.916	1941.986	-24.62	124.656	-0.0113	90.114
CEMBRE SPA	2003	-1.7563966	5.522	-10.302	4.992	-3.254	-0.04564	-2.046
CEMBRE SPA	2004	2.9085014	4.052	-7.382	-4.418	-2.614	0.04566	-2.266
CEMBRE SPA	2005	1.1461604	0.442	-1.942	-1.168	-0.974	0.03466	-1.116
CEMBRE SPA	2006	1.2765094	-4.838	2.748	-1.678	1.216	-0.01844	1.354
CEMBRE SPA	2007	-3.5747746	-5.178	16.878	2.272	5.626	-0.01624	4.074
CEMENTIR	2003	25.6548402	-230.112	-291.736	-52.048	-59.4	0.10036	-36.31
CEMENTIR	2004	29.6639962	-225.302	-282.716	-53.098	-56.61	-0.16254	-21.38
CEMENTIR	2005	35.0620862	56.508	-183.496	-53.648	-36.51	0.11606	-2.84
CEMENTIR	2006	-23.2367208	231.398	283.034	45.882	45.26	-0.16254	27.78
CEMENTIR	2007	-67.1442018	167.508	474.914	112.912	107.26	0.10866	32.75
CENTRICA PLC	2003	1008.85624	-45.2	-1603.6	31.2	-394.4	-0.15408	17.8
CENTRICA PLC	2004	1674.41674	-755.2	1882.4	-126.8	-232.4	-0.18018	147.8
CENTRICA PLC	2005	1697.81974	-706.2	1718.4	-149.8	-53.4	-0.15758	276.8
CENTRICA PLC	2006	1493.66194	1087.8	-2499.6	199.2	292.6	-0.02118	284.8
CENTRICA PLC	2007	-5874.75466	418.8	502.4	46.2	387.6	0.51302	-727.2
CEREP	2003	2.1226736	-5.346	-10.636	2.476	4.492	-0.00312	6.7140552
CEREP	2004	-1.0594684	-4.886	-11.016	2.946	0.012	-0.00312	3.9740552
CEREP	2005	5.4157316	-6.016	6.204	2.486	3.102	-0.00312	5.8640552
CEREP	2006	7.3805316	8.304	7.754	-8.094	6.072	-0.00312	-3.0459448
CEREP	2007	-13.8594684	7.944	7.694	0.186	-13.678	0.01248	-13.5062208
CHARGEURS SA	2003	-359.942536	59.78	220.36	-22.74	33.86	14.31628	-119.824048
CHARGEURS SA	2004	102.102024	16.98	54.76	-10.54	7.16	-3.64252	26.796192
CHARGEURS SA	2005	108.265524	3.28	-36.64	0.76	13.46	-3.58742	55.575952
CHARGEURS SA	2006	50.757464	-38.02	-122.04	4.86	-56.94	-3.68372	-12.224048
CHARGEURS SA	2007	98.817524	-42.02	-116.44	27.66	2.46	-3.40262	49.675952
CHARTER PLC	2003	-21.227974	116.44	-86.88	-2.76	-34.58	-0.1128	-30.36
CHARTER PLC	2004	102.907196	86.94	-144.98	-10.36	-40.78	-0.1128	-34.36
CHARTER PLC	2005	-31.956894	1.84	-116.98	-4.96	-20.18	0.1411	-11.56
CHARTER PLC	2006	-30.749844	-107.56	78.32	6.54	27.62	0.0804	14.14
CHARTER PLC	2007	-18.972484	-97.66	270.52	11.54	67.92	0.0041	62.14
CHRISTIAN DIOR	2003	494.6229	845	-713.4	-414	-237	0.03204	-294
CHRISTIAN DIOR	2004	-189.4369	-43	-1415.4	-194	-288	0.04564	-169
CHRISTIAN DIOR	2005	-196.483	-94	-680.4	25	-161	-0.01526	-8
CHRISTIAN DIOR	2006	-260.7526	131	674.6	267	83	-0.02086	146
CHRISTIAN DIOR	2007	152.0496	-839	2134.6	316	603	-0.04156	325
CIMENTS FRANCAIS	2003	-65.51193	179.64	-442.9	24.9	-151.04	0.02386	-119.58
CIMENTS FRANCAIS	2004	17.29516	-121.36	-474.3	-78.6	-121.14	0.03696	-84.68
CIMENTS FRANCAIS	2005	-29.11192	-343.06	-312.7	-33.4	-96.74	0.05596	-64.28
CIMENTS FRANCAIS	2006	-19.49245	378.04	222.2	50.4	48.76	-0.06874	93.92
CIMENTS FRANCAIS	2007	96.82114	-93.26	1007.7	36.7	320.16	-0.04804	174.62
CIR SPA	2003	-50.4140186	-422.334	-618.354	-57.712	-34.714	0.09688	-25.702
CIR SPA	2004	-32.1738006	-399.214	-361.324	-16.112	10.296	0.11468	-31.072
CIR SPA	2005	509.5996094	124.456	-139.124	-111.912	15.996	-0.06082	55.728
CIR SPA	2006	-6.8865656	218.196	182.346	-83.802	-24.224	-0.09542	-6.202
CIR SPA	2007	-420.1252246	478.896	936.456	269.538	32.646	-0.05532	7.248
CITYCON OYJ	2003	2.133988	-126.668	-12.726	-19.396	-4.808	-0.13814	-32.118
CITYCON OYJ	2004	-1.456012	-56.438	-14.076	-16.196	-5.438	-0.13814	-31.658
CITYCON OYJ	2005	-9.803322	-77.138	-3.886	-11.336	-1.758	0.12286	-28.488
CITYCON OYJ	2006	-5.810712	13.472	0.594	-7.536	-3.998	0.05486	13.282
CITYCON OYJ	2007	14.936058	246.772	30.094	54.464	16.002	0.09856	78.982
CLARINS	2003	-45.2230442	68.708	-20.6	-10.718	-24.41	0.00978	-38.744
CLARINS	2004	-17.4827272	18.238	-54.14	1.722	-10.85	0.17808	-68.104
CLARINS	2005	43.8301688	3.198	-4.24	-9.798	5.71	0.00978	-16.474
CLARINS	2006	-1.9011032	-39.662	55	3.682	16.48	-0.00882	-1.634
CLARINS	2007	20.7767058	-50.482	23.98	15.112	13.07	-0.18882	124.956
CLARKSON PLC	2003	-17.9125612	-9.224	-47.388	1.848	-10.944	0.02766	-8.504
CLARKSON PLC	2004	6.9136608	-11.074	-24.378	-5.512	-1.844	-0.00314	-0.404
CLARKSON PLC	2005	6.9136608	-11.074	4.322	-5.512	-1.844	-0.00314	-0.404
CLARKSON PLC	2006	0.1791598	-6.114	32.822	13.938	8.766	-0.00814	6.806
CLARKSON PLC	2007	3.9060798	37.486	34.622	-4.762	5.866	-0.01324	2.506
CNP ASSURANCES	2003	-331.662456	-4611.96	-8851.02	-96.9	-360.1	0.00688	-143.05969
CNP ASSURANCES	2004	-346.018336	-4111.96	-4432.72	-96.9	-395.4	-0.00552	-157.41557
CNP ASSURANCES	2005	-279.905326	-3629.06	-1951.12	-96.9	-213.9	0.05678	-91.30256
CNP ASSURANCES	2006	980.807084	6174.94	4422.08	400.9	408	0.02068	99.38891
CNP ASSURANCES	2007	-23.220966	6178.04	10812.78	-110.2	561.4	-0.07882	292.38891
COBHAM PLC	2003	-12.518926	-149.8	-168.5	4.54	-43.56	-0.01562	-14.24
COBHAM PLC	2004	-20.388076	-151.8	-87.6	0.84	-13.16	0.00928	5.66
COBHAM PLC	2005	-3.861166	-145	79.9	-11.96	2.64	0.03368	7.36
COBHAM PLC	2006	16.004294	495.9	67.2	-12.26	19.54	-0.01102	-24.64
COBHAM PLC	2007	20.763874	-49.3	109	18.84	34.54	-0.01632	25.86
COFIDE SPA	2003	-89.7640342	-318.872	-618.322	0.152	-34.036	0.11638	-19.324
COFIDE SPA	2004	-36.5859722	-393.902	-361.332	-26.748	10.874	0.12008	-17.664
COFIDE SPA	2005	413.6106858	107.138	-139.132	-18.948	17.114	-0.06492	22.076
COFIDE SPA	2006	-116.1508092	179.728	182.338	26.812	-24.126	-0.10822	5.486
COFIDE SPA	2007	-171.1098702	425.908	936.448	18.732	30.174	-0.06332	9.426
COFINA	2003	8.1754646	29.838	35.646	-6.718	10.452	0.02026	-1.676
COFINA	2004	6.5731146	55.588	37.346	-5.758	6.822	-0.08344	-0.396
COFINA	2005	-3.0123624	32.758	64.726	9.262	2.432	-0.02804	2.264
COFINA	2006	-4.6256254	-44.142	-71.224	0.002	-10.628	0.03556	0.344
COFINA	2007	-7.1105914	-74.042	-66.494	3.212	-9.078	0.05566	-0.536
COFITEM-COFIMUR	2003	-4.3269878	-41.686	-24.828	-8.986	-8.07	-0.08708	-19.991643
COFITEM-COFIMUR	2004	-4.3269878	-41.686	-24.828	-8.986	-8.07	-0.08708	-19.991643
COFITEM-COFIMUR	2005	-0.5677758	18.584	24.462	-8.986	0.35	0.13402	-11.373428
COFITEM-COFIMUR	2006	-27.7886758	28.824	-13.748	28.584	-2.94	0.04812	4.568357
COFITEM-COFIMUR	2007	37.0104272	35.964	38.942	-1.626	18.73	-0.00798	46.788357
COLAS SA	2003	68.11716	18	-1207.4	-47.2	-110.8	0.03116	-63.2
COLAS SA	2004	-41.90384	-79	-1196.4	-70.2	-141.8	-0.00154	-67.2
COLAS SA	2005	55.87396	-62	-609.4	-10.2	-96.8	-0.01244	-30.2
COLAS SA	2006	1.71436	37	918.6	12.8	112.2	-0.01624	35.8
